strain,drug,mic_values_1,mic_values_2,mic_values_3,mic_values_4,mic_values_5,mic_values_6,mic_values_7,mic_values_8,mic_values_9,mic_values_10,mic_values_11,mic_values_12,mic_values_13,mic_values_14
WT,TMP,0.003429355,0.003429355,0.003429355,0.003429355,0.003429355,0.003429355,0.001143118,,,,,,,
WT,V-041,0.010288066,0.010288066,0.010288066,0.003429355,0.003429355,0.003429355,0.003429355,0.003429355,0.003429355,0.003429355,0.010288066,0.003429355,0.003429355,0.010288066
L28R,TMP,7.5,2.5,7.5,0.833333333,0.833333333,0.833333333,2.5,,,,,,,
L28R,V-041,0.277777778,0.092592593,0.092592593,0.277777778,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.277777778,0.277777778,0.092592593,0.092592593,0.092592593
