Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500,fIC50-A,fIC50-B,h-A,h-B
TB194,TMP,0,0,48,1.64,1.64,1.64,0.59095,0.59505,0.64975,0.37815,0.00115,0.0002,0.00175,0.00035,0.0003,0.0007,0.00205,0.00065,0.00055,0.001,0.6815055215673749,0.6815055215988057,14.99999999999999,14.99999999999985
TB194,TMP,0,0,48,4.1,4.1,4.1,0.61785,0.50995,0.57415,0.44955,0.55215,0.0018,0.00345,0.00165,0.0007,0.0019,0.0,0.00245,0.00075,0.0011,2.8597099887311175,2.8597107530457633,14.999999999743428,14.999999999742384
TB194,TMP,0,0,48,1.64,1.64,1.64,0.41015,0.53635,0.57265,0.39445,0.00045,0.0,0.00045,0.0,0.0001,0.0,0.0,0.00095,0.0,0.0,0.7178176234077877,0.7178171931584841,14.99945951643676,14.999566607427212
TB194,V041,0,0,48,1.64,1.64,0.66,0.4192,0.5851,0.56355,0.23055,0.0017,0.00085,0.0011,0.0,0.0,0.0009,0.01855,0.0,0.0266,0.0417,0.6496750249867588,0.6496750249865639,14.999999999638698,14.999999999637714
TB194,V041,0,0,48,1.64,1.64,0.66,0.9074,0.6525,0.61475,0.36395,0.0038,0.00075,0.0017,0.0,0.0,0.001,0.00535,0.0039,0.0121,0.0086,0.4829703658711894,0.48297036260624887,1.706570421787102,1.7065703872177012
TB194,V041,0,0,48,1.64,1.64,0.66,0.6993,0.5944,0.57445,0.26965,0.0035,0.00265,0.0031,0.0017,0.0013,0.0009,0.00355,0.0059,0.0297,0.0,0.57104766141621,0.5710476620019372,2.7810955630677086,2.781095551965365
TB194,V041,0,0,48,1.64,0.66,0.66,0.6847,0.5687,0.51555,0.15365,0.0014,0.00075,0.0056,0.0,0.0,0.0,0.0,0.0,0.0294,0.0,0.43056958119958355,0.4305695793120254,2.673468743932309,2.6734687120721072
TB194,V041,0,0,48,1.64,1.64,0.66,0.6139,0.5467,0.5518,0.2427,0.00315,0.0025,0.0005,0.0,0.0,0.0003,0.0011,0.0065,0.06165,0.025,0.6031196221421441,0.6031196213214598,3.7543278347842346,3.754327794917071
TB194,V041,0,0,48,1.64,1.64,0.66,0.7511,0.5975,0.6244,0.3365,0.00185,0.0,0.0006,0.00035,0.0016,0.0015,0.0078,0.0086,0.0,0.0374,0.656537043261694,0.6565370466162895,3.556508072971692,3.556508518496843
TB194,V041,0,0,48,1.64,1.64,0.66,0.5525,0.5556,0.5988,0.2377,0.00655,0.0031,0.001,0.00075,0.0012,0.001,0.0048,0.0,0.0,0.0211,0.6455561339115733,0.6455561339518958,14.999940260113105,14.999940302432025
TB194,V041,0,0,48,1.64,1.64,0.66,0.5777,0.5186,0.5617,0.1943,0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.6336074480812931,0.633607448071286,14.999999732710197,14.999999731474457
T1D1,TMP,1,1,24,10.2,4.1,4.1,0.578,0.4454,0.4331,0.4133,0.35915,0.0441,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,2.2398729270548863,2.239872944650848,3.466164878592627,3.466164775324871
T1D2,TMP,1,2,24,10.2,4.1,4.1,0.5782,0.4445,0.4156,0.3836,0.42415,0.0563,0.0,0.0005,0.0,0.0,0.0,5e-05,0.00175,0.00075,2.7505247102018417,2.7505246911310355,4.879709761708442,4.879709590534237
T1D3,TMP,1,3,24,400.0,400.0,160.0,0.5884,0.5038,0.5012,0.4383,0.48475,0.5789,0.49255,0.5055,0.3417,0.28935,0.0,0.00015,0.00335,0.00055,135.1265030991371,135.12650439687485,1.7555181340717048,1.7555181205767225
T1D4,TMP,1,4,24,400.0,400.0,160.0,0.5602,0.4677,0.4754,0.4445,0.49775,0.591,0.48755,0.4987,0.3626,0.28775,0.0,0.0,0.00245,0.00215,147.52306086219255,147.52305937019165,1.9827151570486774,1.982715133926288
T1D5,TMP,1,5,24,1000.0,400.0,400.0,0.5023,0.4332,0.4363,0.4336,0.46155,0.5986,0.48125,0.4868,0.3789,0.35775,0.0739,0.00165,0.00785,0.00265,225.0538593163864,225.05386106271814,2.528219984196872,2.528220010440738
T1D6,TMP,1,6,24,1000.0,400.0,400.0,0.523,0.51,0.4588,0.4685,0.49695,0.6147,0.44735,0.4593,0.3988,0.32585,0.0865,0.00295,0.00775,0.00205,191.489522252694,191.4895226165046,1.7741043741281537,1.7741043573556812
T1D7,TMP,1,7,24,1000.0,400.0,400.0,0.5184,0.4775,0.4465,0.4687,0.55275,0.5987,0.49705,0.5378,0.3898,0.35675,0.1079,0.00545,0.00765,0.00265,212.87648803770136,212.87648625752215,1.8666781184489676,1.8666780501135916
T1D8,TMP,1,8,24,2500.0,1750.0,1000.0,0.5524,0.4752,0.4704,0.485,0.54715,0.6253,0.56655,0.6072,0.4922,0.47795,0.387,0.21895,0.07505,0.00765,703.3677057648193,703.3677035786402,1.8096632977480738,1.8096632840268922
T1D9,TMP,1,9,24,2500.0,1750.0,1000.0,0.4862,0.4053,0.4739,0.4402,0.49905,0.6334,0.53405,0.5125,0.4394,0.44105,0.3492,0.23945,0.09725,0.01185,765.6434138703115,765.6434121884055,1.6163731742278284,1.6163731589066153
T1D10,TMP,1,10,24,2500.0,1750.0,1000.0,0.5998,0.4757,0.4867,0.4588,0.52045,0.5317,0.50735,0.4868,0.4659,0.46635,0.4085,0.26015,0.14955,0.00885,965.6069316024079,965.6069279263745,1.939055512680321,1.939055527161027
T1D11,TMP,1,11,24,2500.0,2500.0,1750.0,0.5246,0.4716,0.4524,0.457,0.46315,0.5041,0.48955,0.4896,0.4614,0.43885,0.3927,0.28785,0.19305,0.01085,1163.4742408859927,1163.474242769071,2.031961591698254,2.0319616241944356
T1D12,TMP,1,12,24,2500.0,2500.0,1000.0,0.59,0.4555,0.4607,0.4332,0.46895,0.485,0.48095,0.4936,0.4661,0.47105,0.384,0.26405,0.17635,0.02185,1049.5344270934359,1049.5344329894988,1.838086602891546,1.838086678160298
T1D13,TMP,1,13,24,2500.0,2500.0,1000.0,0.6231,0.4356,0.4402,0.4582,0.45425,0.5134,0.46885,0.4646,0.4532,0.43515,0.3516,0.28885,0.17435,0.02075,1016.4769665465406,1016.4769623648846,1.5493342980941855,1.549334299898868
