Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500
T1D4,TMP,1,4,24,400,400,160,0.5602,0.4677,0.4754,0.4445,0.49775,0.591,0.48755,0.4987,0.3626,0.28775,0,0,0.00245,0.00215
T1D5,TMP,1,5,24,1000,400,400,0.5023,0.4332,0.4363,0.4336,0.46155,0.5986,0.48125,0.4868,0.3789,0.35775,0.0739,0.00165,0.00785,0.00265
T1D6,TMP,1,6,24,1000,400,400,0.523,0.51,0.4588,0.4685,0.49695,0.6147,0.44735,0.4593,0.3988,0.32585,0.0865,0.00295,0.00775,0.00205
T1D7,TMP,1,7,24,1000,400,400,0.5184,0.4775,0.4465,0.4687,0.55275,0.5987,0.49705,0.5378,0.3898,0.35675,0.1079,0.00545,0.00765,0.00265
T1D8,TMP,1,8,24,2500,1750,1000,0.5524,0.4752,0.4704,0.485,0.54715,0.6253,0.56655,0.6072,0.4922,0.47795,0.387,0.21895,0.07505,0.00765
T1D9,TMP,1,9,24,2500,1750,1000,0.4862,0.4053,0.4739,0.4402,0.49905,0.6334,0.53405,0.5125,0.4394,0.44105,0.3492,0.23945,0.09725,0.01185
T1D10,TMP,1,10,24,2500,1750,1000,0.5998,0.4757,0.4867,0.4588,0.52045,0.5317,0.50735,0.4868,0.4659,0.46635,0.4085,0.26015,0.14955,0.00885
T1D11,TMP,1,11,24,2500,2500,1750,0.5246,0.4716,0.4524,0.457,0.46315,0.5041,0.48955,0.4896,0.4614,0.43885,0.3927,0.28785,0.19305,0.01085
T1D12,TMP,1,12,24,2500,2500,1000,0.59,0.4555,0.4607,0.4332,0.46895,0.485,0.48095,0.4936,0.4661,0.47105,0.384,0.26405,0.17635,0.02185
T1D13,TMP,1,13,24,2500,2500,1000,0.6231,0.4356,0.4402,0.4582,0.45425,0.5134,0.46885,0.4646,0.4532,0.43515,0.3516,0.28885,0.17435,0.02075
T1D14,TMP,1,14,24,2500,2500,1750,0.5112,0.45,0.4307,0.4346,0.45815,0.5154,0.44305,0.4972,0.4468,0.46505,0.4143,0.32345,0.20105,0.02395
T1D15,TMP,1,15,24,6250,2500,1750,0.4991,0.4388,0.4344,0.4468,0.45715,0.5216,0.45305,0.4853,0.4317,0.43335,0.4195,0.32255,0.20535,0.03395
T1D16,TMP,1,16,24,2500,2500,1750,0.5007,0.4317,0.4209,0.4141,0.44155,0.542,0.46365,0.4812,0.4312,0.43385,0.4166,0.31855,0.20105,0.02205
T1D17,TMP,1,17,24,2500,2500,1750,0.51,0.4318,0.4181,0.4233,0.44685,0.5554,0.44695,0.4952,0.4292,0.43035,0.4287,0.30555,0.22865,0.02615
T1D18,TMP,1,18,24,6250,2500,1750,0.4995,0.4443,0.4285,0.4111,0.44405,0.5941,0.48865,0.5134,0.4317,0.44005,0.4027,0.30265,0.19115,0.03965
T1D19,TMP,1,19,24,6250,2500,1000,0.4885,0.4426,0.4267,0.4313,0.45075,0.5948,0.49405,0.5098,0.4207,0.44035,0.3961,0.29235,0.18395,0.03955
T1D20,TMP,1,20,24,6250,2500,1000,0.4732,0.448,0.4292,0.4347,0.44765,0.6112,0.48515,0.4781,0.4322,0.44815,0.3796,0.27815,0.19125,0.03595
T1D21,TMP,1,21,24,2500,2500,1000,0.486,0.4208,0.4528,0.441,0.46515,0.6202,0.45995,0.4752,0.4201,0.44735,0.3727,0.26915,0.17015,0.02675
V1D1,V041,1,1,24,1.64,0.66,0.66,0.67935,0.56555,0.4874,0.07145,0.002,0.00205,0,0,0,0,0,0,0.00175,0.03225
V1D2,V041,1,2,24,4.1,1.64,0.66,0.61525,0.54705,0.4951,0.29555,0.1002,0.00295,0.003,0,0,0.00115,0,0,0.04425,0.04995
V1D3,V041,1,3,24,4.1,1.64,0.66,0.61025,0.55785,0.52,0.28905,0.1071,0.00315,0.0025,0,0,0.00215,0,0.00975,0.07745,0.08265
V1D4,V041,1,4,24,10.2,10.2,4.1,0.64435,0.56505,0.5914,0.48175,0.4436,0.16535,0.0098,0.0008,0,0.00145,5.00E-05,0,0.09875,0.06045
V1D5,V041,1,5,24,25.6,25.6,25.6,0.60695,0.56245,0.5625,0.49925,0.4988,0.52885,0.3277,0,0,0.00135,0,0.03895,0.08865,0.05445
V1D6,V041,1,6,24,25.6,25.6,25.6,0.62895,0.54065,0.5414,0.53355,0.4956,0.54995,0.4064,0.0104,0,0.00125,0.00495,0,0.05645,0
V1D7,V041,1,7,24,64,25.6,25.6,0.59725,0.55405,0.5392,0.50105,0.551,0.51545,0.5348,0.0442,0,0.00155,0,0.00095,0.07695,0.16025
V1D8,V041,1,8,24,64,25.6,25.6,0.65465,0.55905,0.5297,0.52075,0.5621,0.59855,0.5224,0.1178,0,0.00275,0.00125,0,0.09305,0.15675
V1D9,V041,1,9,24,64,64,64,0.65275,0.57645,0.5399,0.53935,0.5799,0.56735,0.6205,0.427,0.0154,0.00365,0,0.01385,0.09305,0.15645
V1D10,V041,1,10,24,160,64,64,0.63815,0.57665,0.574,0.51345,0.5298,0.53855,0.5602,0.4494,0.0351,0.00195,0,0,0,0.02465
V1D11,V041,1,11,24,160,64,64,0.64975,0.58865,0.5641,0.50855,0.5243,0.50875,0.5356,0.4456,0.1037,0.00205,0.00095,0,0.07125,0.10245
V1D12,V041,1,12,24,160,64,64,0.62735,0.58875,0.532,0.53515,0.5254,0.53625,0.539,0.4821,0.1402,0.00155,0,0,0,0.04515
V1D13,V041,1,13,24,160,160,64,0.63625,0.56595,0.5844,0.49735,0.5129,0.53095,0.5207,0.5098,0.1887,0.00155,0,0,0.09885,0.08885
V1D14,V041,1,14,24,160,160,64,0.59795,0.59655,0.5594,0.52985,0.5077,0.50685,0.5457,0.5124,0.2717,0,0,0.02065,0.09995,0.10315
V1D15,V041,1,15,24,160,160,160,0.62755,0.57675,0.5353,0.50235,0.5122,0.48315,0.5428,0.5295,0.5095,0.03065,0,0.01545,0.07805,0.10015
V1D16,V041,1,16,24,400,160,160,0.62265,0.53155,0.5459,0.48525,0.4757,0.49215,0.5117,0.528,0.5116,0.09975,0,0.01585,0.07325,0.10835
V1D17,V041,1,17,24,160,160,160,0.65495,0.58785,0.5445,0.47205,0.4683,0.50215,0.5286,0.5334,0.5142,0.02095,0,0.00705,0.09555,0.04525
V1D18,V041,1,18,24,400,160,160,0.66115,0.58325,0.5459,0.50705,0.5152,0.52885,0.5536,0.5799,0.5596,0.08695,0,0.03405,0.08545,0.10725
V1D19,V041,1,19,24,400,160,160,0.62365,0.51475,0.4997,0.48445,0.4949,0.52315,0.5341,0.5833,0.5692,0.12365,0,0,0.04515,0.03255
V1D20,V041,1,20,24,160,160,160,0.65885,0.50345,0.4983,0.46425,0.4878,0.49755,0.5419,0.5674,0.5538,0.00125,0,0,0.04345,0.00225
V1D21,V041,1,21,24,400,400,160,0.68875,0.50345,0.4988,0.49015,0.4971,0.54315,0.5337,0.5559,0.5915,0.23965,0,0,0.02695,0
T1D1,TMP,1,1,48,10.2,10.2,4.1,0.7009,0.49975,0.53405,0.4784,0.3668,0.3389,0,0,0.00025,0,0.00075,0,0,0
T1D2,TMP,1,2,48,10.2,10.2,10.2,0.7158,0.50925,0.51125,0.4245,0.4744,0.3637,0,0,0.00045,0,0.00155,0,0.00055,0
T1D3,TMP,1,3,48,400,400,400,0.6854,0.63915,0.62925,0.5773,0.5774,0.5353,0.5395,0.564,0.43085,0.3958,0.00035,0.0001,0.00295,0
T1D4,TMP,1,4,48,400,400,400,0.7072,0.66975,0.63505,0.5979,0.5689,0.5629,0.5577,0.5905,0.44035,0.3688,0.00035,0,0.00115,0
T1D5,TMP,1,5,48,1000,1000,1000,0.5855,0.57065,0.51135,0.5542,0.5327,0.7107,0.6018,0.6191,0.49005,0.4375,0.39755,0.0012,0.01665,0.00265
T1D6,TMP,1,6,48,1000,1000,1000,0.5979,0.59635,0.57245,0.5567,0.5857,0.7059,0.563,0.5906,0.52835,0.4067,0.50255,0.003,0.01045,0.00185
T1D7,TMP,1,7,48,2500,1750,1000,0.612,0.57485,0.55835,0.5487,0.5877,0.6789,0.595,0.6546,0.48895,0.4481,0.56425,0.2922,0.12125,0.00515
T1D8,TMP,1,8,48,6250,2500,1750,0.6895,0.66255,0.63805,0.6363,0.6733,0.7342,0.6808,0.7042,0.69135,0.6534,0.52625,0.4236,0.29275,0.04525
T1D9,TMP,1,9,48,6250,2500,1750,0.6153,0.59555,0.62085,0.5585,0.6301,0.6924,0.6222,0.6255,0.62605,0.611,0.48745,0.4462,0.29485,0.07585
T1D10,TMP,1,10,48,6250,2500,1750,0.6864,0.62995,0.66795,0.6417,0.7037,0.6818,0.6811,0.7009,0.70695,0.6724,0.54695,0.4777,0.33185,0.06675
T1D11,TMP,1,11,48,6250,2500,1750,0.6156,0.56495,0.74915,0.5751,0.7755,0.6408,0.636,0.6699,0.66355,0.6407,0.51315,0.4838,0.36555,0.08245
