Replica,Name,EvolvedIn,MeasuredIn,Culture#,IC95,IC75,IC50,0.04,0.66,1.64,4.1,10.2,25.6,64.0,160.0,400.0,1000.0,1750.0,2500.0
4,T5D21,TMP,V041,5,400.0,160.0,160.0,0.5012,0.48039999999999994,0.4912,0.49129999999999996,0.5085000000000001,0.46770000000000006,0.4323,0.098,0.014500000000000013,0.0,0.0338,0.058000000000000024
5,T5D21,TMP,V041,5,400.0,160.0,160.0,0.4934,0.4829,0.4894,0.4941,0.5118,0.5702999999999999,0.4371,0.09209999999999999,0.012400000000000008,0.0,0.01780000000000001,0.021400000000000002
6,T5D21,TMP,V041,5,400.0,400.0,160.0,0.49720000000000003,0.48819999999999997,0.48900000000000005,0.49450000000000005,0.49210000000000004,0.4682,0.4263,0.1303,0.0131,0.0,0.019199999999999995,0.018700000000000022
7,T5D21,TMP,V041,5,400.0,160.0,160.0,0.5025,0.48119999999999996,0.4892,0.48819999999999997,0.49910000000000004,0.4742,0.4257,0.0601,0.007100000000000009,0.0,0.019699999999999995,0.01630000000000001
1,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5285000000000001,0.5179,0.5015999999999999,0.4982,0.5002,0.4789,0.3936,0.1987,0.0,0.0,0.0,0.06009999999999999
2,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5273,0.5021,0.5075999999999999,0.5311,0.5088999999999999,0.45320000000000005,0.3845,0.2052,0.0,0.0,0.0,0.007299999999999973
3,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5326000000000001,0.5146000000000001,0.5174,0.5117,0.5027999999999999,0.46010000000000006,0.4013,0.20129999999999998,0.0,0.0,0.0,0.033999999999999975
4,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5279,0.5031,0.5061,0.5256000000000001,0.5103,0.5008,0.396,0.1941,0.0,0.0,0.0,0.0398
5,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5704,0.5083,0.5041,0.5444,0.5259999999999999,0.48120000000000007,0.4086,0.2178,0.0,0.0,0.0,0.0393
6,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5315,0.5068,0.5092,0.509,0.5216,0.4779,0.3936,0.1976,0.0,0.0,0.0,0.0786
7,T6D21,TMP,V041,6,400.0,400.0,160.0,0.5749000000000001,0.5082,0.5091,0.5273,0.5165,0.49230000000000007,0.4087,0.2137,0.0,0.0,0.0,0.0716
1,T7D21,TMP,V041,7,400.0,400.0,160.0,0.5725,0.49340000000000006,0.49349999999999994,0.4877,0.5121,0.45930000000000004,0.4208,0.23590000000000003,0.0007000000000000062,0.0,0.042700000000000016,0.0
2,T7D21,TMP,V041,7,400.0,400.0,160.0,0.5241,0.521,0.5028,0.4962,0.5178,0.47529999999999994,0.41609999999999997,0.20220000000000002,0.019000000000000003,0.0,0.042800000000000005,0.0013000000000000234
3,T7D21,TMP,V041,7,400.0,400.0,400.0,0.5352,0.5151,0.5299,0.5218,0.5234,0.4847,0.4165,,0.022099999999999995,0.0,0.03270000000000001,0.0
4,T7D21,TMP,V041,7,400.0,400.0,160.0,0.53,0.5281,0.5246,0.5209,0.5367,0.5082,0.4145,0.19860000000000003,0.0029,0.0,0.027000000000000024,0.0
5,T7D21,TMP,V041,7,400.0,400.0,160.0,0.5416,0.538,0.5381,0.5332,0.5737,0.5858,0.4253,0.2292,0.016,0.0,0.056400000000000006,0.0013000000000000234
6,T7D21,TMP,V041,7,400.0,400.0,160.0,0.544,0.5393,0.53,0.5376,0.5632,0.5145,0.4356,0.23440000000000003,0.0,0.0,0.029700000000000004,0.01830000000000001
7,T7D21,TMP,V041,7,400.0,400.0,160.0,0.5577,0.5495,0.5694,0.5398000000000001,0.5881,0.5025,0.4246,0.1511,0.015200000000000005,0.0,0.0,0.00789999999999999
1,V1D21,V041,TMP,1,2500.0,2500.0,1750.0,0.7062,0.6438999999999999,0.5747,0.5281,0.5408999999999999,0.5676,0.5354000000000001,0.5580999999999999,0.6093,0.3648,0.1789,0.022599999999999995
2,V1D21,V041,TMP,1,2500.0,1750.0,1000.0,0.6427,0.5266,0.4947,0.4697,0.4797,0.4941,0.47500000000000003,0.45809999999999995,0.44989999999999997,0.2656,0.1401,0.014600000000000002
3,V1D21,V041,TMP,1,2500.0,1750.0,1000.0,0.6007,0.47300000000000003,0.4774,0.4729,0.4734999999999999,0.4938,0.4602,0.46519999999999995,0.3815,0.2549,0.1223,0.016199999999999992
4,V1D21,V041,TMP,1,2500.0,2500.0,1000.0,0.48419999999999996,0.47300000000000003,0.47159999999999996,0.47439999999999993,0.4901,0.49850000000000005,0.4604,0.42829999999999996,0.37279999999999996,0.2383,0.12469999999999999,0.009999999999999995
5,V1D21,V041,TMP,1,2500.0,1750.0,1000.0,0.4831,0.4673,0.46980000000000005,0.47419999999999995,0.4784999999999999,0.4989,0.4576,0.43979999999999997,0.3724,0.24130000000000001,0.1168,0.015100000000000002
6,V1D21,V041,TMP,1,2500.0,1750.0,1000.0,0.4668,0.46070000000000005,0.47490000000000004,0.473,0.4885999999999999,0.5937,0.46590000000000004,0.4415,0.3676,0.23759999999999998,0.1213,0.011200000000000002
7,V1D21,V041,TMP,1,2500.0,1750.0,1000.0,0.46340000000000003,0.4703,0.47190000000000004,0.472,0.4819,0.5028,0.46390000000000003,0.43879999999999997,0.36069999999999997,0.238,0.11989999999999999,0.010499999999999995
1,V2D21,V041,TMP,2,2500.0,1750.0,1000.0,0.49970000000000003,0.46330000000000005,0.4516,0.4455,0.4367,0.4817,0.5209,0.435,0.3989,0.183,0.029200000000000004,0.0
2,V2D21,V041,TMP,2,2500.0,1750.0,1000.0,0.4837,0.4569,0.44689999999999996,0.4307,0.452,0.4438,0.46309999999999996,0.421,0.3726,0.1663,0.032,0.0
3,V2D21,V041,TMP,2,1750.0,1750.0,1000.0,0.4829,0.44189999999999996,0.4457,0.4539,0.48300000000000004,0.4546,0.47109999999999996,0.43679999999999997,0.3568,0.16920000000000002,0.020900000000000002,0.011300000000000004
4,V2D21,V041,TMP,2,2500.0,1750.0,1000.0,0.49030000000000007,0.4334,0.4476,0.442,0.45139999999999997,0.4385,0.45389999999999997,0.411,0.3519,0.1579,0.02500000000000001,0.00010000000000000286
5,V2D21,V041,TMP,2,2500.0,1750.0,1000.0,0.4829,0.4364,0.44730000000000003,0.43970000000000004,0.4401,0.4415,0.46529999999999994,0.4178,0.33699999999999997,0.1558,0.026900000000000007,0.0
6,V2D21,V041,TMP,2,2500.0,1750.0,1000.0,0.47930000000000006,0.43220000000000003,0.4366,0.43720000000000003,0.4385,0.4462,0.46409999999999996,0.4223,0.3679,0.16190000000000002,0.026800000000000004,0.0
7,V2D21,V041,TMP,2,2500.0,1750.0,1000.0,0.4687,0.43320000000000003,0.43789999999999996,0.431,0.4505,0.4456,0.4698,0.4058,0.3603,0.15810000000000002,0.02410000000000001,0.003599999999999999
1,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.47940000000000005,0.49999999999999994,0.47150000000000003,0.4842,0.4788,0.4819,0.4687,0.4242,0.3791,0.2303,0.0637,0.0
2,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.4639,0.4652,0.49870000000000003,0.4875,0.4979,0.4968,0.49339999999999995,0.4456,0.381,0.2334,0.0581,0.0
3,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.4628,0.4741,0.47540000000000004,0.4914,0.4799,0.48120000000000007,0.4629,0.42669999999999997,0.37470000000000003,0.23309999999999997,0.0634,0.0
4,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.46219999999999994,0.4781,0.47540000000000004,0.48600000000000004,0.48919999999999997,0.4867,0.46919999999999995,0.4343,0.3693,0.2258,0.0581,0.0
5,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.45940000000000003,0.48379999999999995,0.4847,0.48679999999999995,0.5014,0.48930000000000007,0.493,0.4326,0.38720000000000004,0.22669999999999996,0.05499999999999999,0.0
6,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.4648,0.49889999999999995,0.49260000000000004,0.4843,0.493,0.49540000000000006,0.4941,0.44320000000000004,0.3851,0.2323,0.055499999999999994,0.0
7,V3D21,V041,TMP,3,2500.0,1750.0,1000.0,0.4619,0.4812,0.487,0.5015000000000001,0.5097,0.5012,0.4867,0.4468,0.38680000000000003,0.24019999999999997,0.060300000000000006,0.0
1,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.5131,0.47919999999999996,0.5194,0.47950000000000004,0.4945,0.4721,0.48919999999999997,0.4675,0.3881,0.2635,0.16540000000000002,0.05569999999999999
2,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.4726,0.4749,0.495,0.48950000000000005,0.4825,0.4704,0.4575,0.44830000000000003,0.39640000000000003,0.27090000000000003,0.17550000000000002,0.0531
3,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.47509999999999997,0.47650000000000003,0.499,0.49640000000000006,0.48910000000000003,0.4852,0.47439999999999993,0.4565,0.3985,0.2808,0.16390000000000002,0.054
4,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.47019999999999995,0.4867,0.5054,0.49250000000000005,0.49579999999999996,0.4826,0.477,0.46540000000000004,0.3922,0.2604,0.1689,0.0585
5,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.471,0.47919999999999996,0.5099,0.48750000000000004,0.4935,0.49269999999999997,0.477,0.46240000000000003,0.399,0.2597,0.1663,0.056600000000000004
6,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.47829999999999995,0.4887,0.5078,0.49250000000000005,0.49589999999999995,0.5053,0.471,0.4527,0.3937,0.2645,0.1642,0.064
